name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,heat_capacity,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,property_name,property_phase_raw,property_phase_norm,phase_coarse,temperature_K,pressure_kPa,expanded_uncertainty,doi,title,journal,year,primary_inchi,primary_inchikey,source_file,component_regnum,component_count,is_mixture,structure_source,structure_key,abs_delta_T_ref,abs_delta_P_ref
"1,2-propanediol",CC(O)CO,Experimental,C3H8O2,76.095,1.0,2.0,2.0,40.46,-0.6405,-,-,-,-,-,191.288,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,8.117,10.1016/j.fluid.2013.06.041,Excess volumes and excess heat capacities for alkanediol + water systems in the temperature interval (283.15-313.15) K,Fluid Phase Equilib.,2013,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",DNIAPMSPPWPWGF-UHFFFAOYSA-N,j.fluid.2013.06.041.json,3,1,False,inchi,inchikey::DNIAPMSPPWPWGF-UHFFFAOYSA-N,0.0,
"1,4-butanediol",OCCCCO,Experimental,C4H10O2,90.12199999999999,3.0,2.0,2.0,40.46,-0.24880000000000002,-,-,-,-,-,203.726,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,8.645,10.1016/j.fluid.2013.06.041,Excess volumes and excess heat capacities for alkanediol + water systems in the temperature interval (283.15-313.15) K,Fluid Phase Equilib.,2013,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",WERYXYBDKMZEQL-UHFFFAOYSA-N,j.fluid.2013.06.041.json,4,1,False,inchi,inchikey::WERYXYBDKMZEQL-UHFFFAOYSA-N,0.0,
"1,2-hexanediol",CCCCC(O)CO,Experimental,C6H14O2,118.17599999999997,4.0,2.0,2.0,40.46,0.5297999999999998,-,-,-,-,-,293.095,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,12.438,10.1016/j.fluid.2013.06.041,Excess volumes and excess heat capacities for alkanediol + water systems in the temperature interval (283.15-313.15) K,Fluid Phase Equilib.,2013,"InChI=1S/C6H14O2/c1-2-3-4-6(8)5-7/h6-8H,2-5H2,1H3",FHKSXSQHXQEMOK-UHFFFAOYSA-N,j.fluid.2013.06.041.json,5,1,False,inchi,inchikey::FHKSXSQHXQEMOK-UHFFFAOYSA-N,0.0,
benzene,c1ccccc1,Experimental,C6H6,78.11399999999999,0.0,0.0,0.0,0.0,1.6866,-,-,-,-,-,135.18,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,2.09,10.1016/j.fluid.2014.06.024,"Heat capacities of binary and ternary mixtures containing o-chlorotoluene, cyclic ether and aromatic hydrocarbons",Fluid Phase Equilib.,2014,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,j.fluid.2014.06.024.json,3,1,False,inchi,inchikey::UHOVQNZJYSORNB-UHFFFAOYSA-N,0.0,
toluene,Cc1ccccc1,Experimental,C7H8,92.14099999999999,0.0,0.0,0.0,0.0,1.99502,-,-,-,-,-,157.18,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,2.44,10.1016/j.fluid.2014.06.024,"Heat capacities of binary and ternary mixtures containing o-chlorotoluene, cyclic ether and aromatic hydrocarbons",Fluid Phase Equilib.,2014,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N,j.fluid.2014.06.024.json,4,1,False,inchi,inchikey::YXFVVABEGXRONW-UHFFFAOYSA-N,0.0,
"1,2-dimethylbenzene",Cc1ccccc1C,Experimental,C8H10,106.16799999999999,0.0,0.0,0.0,0.0,2.30344,-,-,-,-,-,187.55,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,2.91,10.1016/j.fluid.2014.06.024,"Heat capacities of binary and ternary mixtures containing o-chlorotoluene, cyclic ether and aromatic hydrocarbons",Fluid Phase Equilib.,2014,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",CTQNGGLPUBDAKN-UHFFFAOYSA-N,j.fluid.2014.06.024.json,5,1,False,inchi,inchikey::CTQNGGLPUBDAKN-UHFFFAOYSA-N,0.0,
1-butyl-3-methylimidazolium acetate,CC(=O)[O-].CCCCn1cc[n+](C)c1,Experimental,C10H18N2O2,198.26599999999996,3.0,0.0,3.0,48.94,-0.1311,-,-,-,-,-,381.123392304,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,23.4940707,10.1016/j.fluid.2014.10.015,Thermophysical properties of 1-butyl-3-methylimidazolium acetate over a wide range of temperatures and pressures,Fluid Phase Equilib.,2014,"InChI=1S/C8H15N2.C2H4O2/c1-3-4-5-10-7-6-9(2)8-10;1-2(3)4/h6-8H,3-5H2,1-2H3;1H3,(H,3,4)/q+1;/p-1",BSKSXTBYXTZWFI-UHFFFAOYSA-M,j.fluid.2014.10.015.json,1,1,False,inchi,inchikey::BSKSXTBYXTZWFI-UHFFFAOYSA-M,0.0,
"1,2-pentanediol",CCCC(O)CO,Experimental,C5H12O2,104.14899999999997,3.0,2.0,2.0,40.46,0.13970000000000005,-,-,-,-,-,266.29,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,4.61,10.1016/j.fluid.2015.05.016,"Excess volumes and excess heat capacities of {1,2- alkanediol + methanol} mixtures and ionic volumes in these systems",Fluid Phase Equilib.,2015,"InChI=1S/C5H12O2/c1-2-3-5(7)4-6/h5-7H,2-4H2,1H3",WCVRQHFDJLLWFE-UHFFFAOYSA-N,j.fluid.2015.05.016.json,4,1,False,inchi,inchikey::WCVRQHFDJLLWFE-UHFFFAOYSA-N,0.0,
methyl-.alpha.-D-glucopyranoside,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Experimental,C7H14O6,194.18299999999996,2.0,4.0,6.0,99.38000000000001,-2.5672999999999986,-,-,-,-,-,291.48,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,101.325,7.14,10.1016/j.fluid.2015.10.047,Thermal properties and solubility of methyl a-D-glucopyranoside in methanol at different temperatures,Fluid Phase Equilib.,2016,"InChI=1S/C7H14O6/c1-12-7-6(11)5(10)4(9)3(2-8)13-7/h3-11H,2H2,1H3/t3-,4-,5+,6-,7+/m1/s1",HOVAGTYPODGVJG-ZFYZTMLRSA-N,j.fluid.2015.10.047.json,2,1,False,inchi,inchikey::HOVAGTYPODGVJG-ZFYZTMLRSA-N,0.0,
1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C10H15F6N3O4S2,419.369,4.0,0.0,5.0,91.19,2.0279,-,-,-,-,-,565.3058252416,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.0003565152,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C8H15N2.C2F6NO4S2/c1-8(2)6-10-5-4-9(3)7-10;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-5,7-8H,6H2,1-3H3;/q+1;-1",UCSCMJVSBWEERZ-UHFFFAOYSA-N,j.fluid.2016.04.009.json,1,1,False,inchi,inchikey::UCSCMJVSBWEERZ-UHFFFAOYSA-N,0.0,
"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C12H16F6N2O4S2,430.39200000000005,5.0,0.0,4.0,86.25999999999999,3.1419200000000025,-,-,-,-,-,578.0123453456,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.3420571152,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C10H16N.C2F6NO4S2/c1-3-4-7-11-8-5-6-10(2)9-11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-6,8-9H,3-4,7H2,1-2H3;/q+1;-1",NOFBAVDIGCEKOQ-UHFFFAOYSA-N,j.fluid.2016.04.009.json,2,1,False,inchi,inchikey::NOFBAVDIGCEKOQ-UHFFFAOYSA-N,0.0,
1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C12H16F6N2O4S2,430.39200000000005,4.0,0.0,4.0,86.25999999999999,2.9978200000000017,-,-,-,-,-,578.873123224,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.3420571152,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C10H16N.C2F6NO4S2/c1-9(2)7-11-6-4-5-10(3)8-11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-6,8-9H,7H2,1-3H3;/q+1;-1",CHMFMSRLHXBXNJ-UHFFFAOYSA-N,j.fluid.2016.04.009.json,3,1,False,inchi,inchikey::CHMFMSRLHXBXNJ-UHFFFAOYSA-N,0.0,
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C11H20F6N2O4S2,422.41300000000007,5.0,0.0,4.0,82.38,3.0862000000000025,-,-,-,-,-,584.1930288936,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.5171199744,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C9H20N.C2F6NO4S2/c1-3-4-7-10(2)8-5-6-9-10;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h3-9H2,1-2H3;/q+1;-1",HSLXOARVFIWOQF-UHFFFAOYSA-N,j.fluid.2016.04.009.json,4,1,False,inchi,inchikey::HSLXOARVFIWOQF-UHFFFAOYSA-N,0.0,
1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C11H20F6N2O4S2,422.41300000000007,4.0,0.0,4.0,82.38,2.9421000000000017,-,-,-,-,-,582.0809788976,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.5171199744,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C9H20N.C2F6NO4S2/c1-9(2)8-10(3)6-4-5-7-10;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h9H,4-8H2,1-3H3;/q+1;-1",PQYJKAOJURATKE-UHFFFAOYSA-N,j.fluid.2016.04.009.json,5,1,False,inchi,inchikey::PQYJKAOJURATKE-UHFFFAOYSA-N,0.0,
1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C12H22F6N2O4S2,436.44000000000005,5.0,0.0,4.0,82.38,3.476300000000003,-,-,-,-,-,607.5197182464,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.9659705344,10.1016/j.fluid.2016.04.009,The effect of n vs. iso Isomerization on the thermophysical properties of aromatic and non-aromatic ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C10H22N.C2F6NO4S2/c1-3-4-8-11(2)9-6-5-7-10-11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h3-10H2,1-2H3;/q+1;-1",ZDMWZUAOSLBMEY-UHFFFAOYSA-N,j.fluid.2016.04.009.json,6,1,False,inchi,inchikey::ZDMWZUAOSLBMEY-UHFFFAOYSA-N,0.0,
"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",CCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C11H14F6N2O4S2,416.365,4.0,0.0,4.0,86.25999999999999,2.6157000000000012,-,-,-,-,-,566.1,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.2,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C9H14N.C2F6NO4S2/c1-3-9-7-5-6-8-10(9)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-8H,3-4H2,1-2H3;/q+1;-1",OTLCESZHVRNZQP-UHFFFAOYSA-N,j.fluid.2016.05.030.json,1,1,False,inchi,inchikey::OTLCESZHVRNZQP-UHFFFAOYSA-N,0.0,
1-ethyl-2-propylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C12H16F6N2O4S2,430.39200000000005,5.0,0.0,4.0,86.25999999999999,3.0058000000000025,-,-,-,-,-,593.9,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,13.8,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C10H16N.C2F6NO4S2/c1-3-7-10-8-5-6-9-11(10)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-6,8-9H,3-4,7H2,1-2H3;/q+1;-1",PLYRWBQFZMSNSR-UHFFFAOYSA-N,j.fluid.2016.05.030.json,2,1,False,inchi,inchikey::PLYRWBQFZMSNSR-UHFFFAOYSA-N,0.0,
2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C13H18F6N2O4S2,444.41900000000004,6.0,0.0,4.0,86.25999999999999,3.395900000000003,-,-,-,-,-,623.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,14.5,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C11H18N.C2F6NO4S2/c1-3-5-8-11-9-6-7-10-12(11)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h6-7,9-10H,3-5,8H2,1-2H3;/q+1;-1",XLQTWVFBIREKGZ-UHFFFAOYSA-N,j.fluid.2016.05.030.json,3,1,False,inchi,inchikey::XLQTWVFBIREKGZ-UHFFFAOYSA-N,0.0,
1-ethyl-2-pentylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C14H20F6N2O4S2,458.4460000000001,7.0,0.0,4.0,86.25999999999999,3.786000000000003,-,-,-,-,-,652.7,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,15.2,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C12H20N.C2F6NO4S2/c1-3-5-6-9-12-10-7-8-11-13(12)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h7-8,10-11H,3-6,9H2,1-2H3;/q+1;-1",WMVZRUYYUGCXPP-UHFFFAOYSA-N,j.fluid.2016.05.030.json,4,1,False,inchi,inchikey::WMVZRUYYUGCXPP-UHFFFAOYSA-N,0.0,
1-ethyl-2-hexylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C15H22F6N2O4S2,472.47300000000007,8.0,0.0,4.0,86.25999999999999,4.176100000000004,-,-,-,-,-,685.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,15.9,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C13H22N.C2F6NO4S2/c1-3-5-6-7-10-13-11-8-9-12-14(13)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h8-9,11-12H,3-7,10H2,1-2H3;/q+1;-1",RAHWWIAHZLWJHH-UHFFFAOYSA-N,j.fluid.2016.05.030.json,5,1,False,inchi,inchikey::RAHWWIAHZLWJHH-UHFFFAOYSA-N,0.0,
1-ethyl-2-heptylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C16H24F6N2O4S2,486.50000000000006,9.0,0.0,4.0,86.25999999999999,4.566200000000005,-,-,-,-,-,717.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,16.7,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C14H24N.C2F6NO4S2/c1-3-5-6-7-8-11-14-12-9-10-13-15(14)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h9-10,12-13H,3-8,11H2,1-2H3;/q+1;-1",KUBPCWKLKKCBCE-UHFFFAOYSA-N,j.fluid.2016.05.030.json,6,1,False,inchi,inchikey::KUBPCWKLKKCBCE-UHFFFAOYSA-N,0.0,
1-ethyl-2-octylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C17H26F6N2O4S2,500.5270000000001,10.0,0.0,4.0,86.25999999999999,4.956300000000005,-,-,-,-,-,749.4,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,17.4,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C15H26N.C2F6NO4S2/c1-3-5-6-7-8-9-12-15-13-10-11-14-16(15)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h10-11,13-14H,3-9,12H2,1-2H3;/q+1;-1",WRKYJJWUGBJYJS-UHFFFAOYSA-N,j.fluid.2016.05.030.json,7,1,False,inchi,inchikey::WRKYJJWUGBJYJS-UHFFFAOYSA-N,0.0,
1-ethyl-2-nonylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C18H28F6N2O4S2,514.5540000000001,11.0,0.0,4.0,86.25999999999999,5.346400000000005,-,-,-,-,-,778.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,18.1,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C16H28N.C2F6NO4S2/c1-3-5-6-7-8-9-10-13-16-14-11-12-15-17(16)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h11-12,14-15H,3-10,13H2,1-2H3;/q+1;-1",MMMLNNGXHYJPSW-UHFFFAOYSA-N,j.fluid.2016.05.030.json,8,1,False,inchi,inchikey::MMMLNNGXHYJPSW-UHFFFAOYSA-N,0.0,
2-decyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,CCCCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C19H30F6N2O4S2,528.581,12.0,0.0,4.0,86.25999999999999,5.736500000000006,-,-,-,-,-,811.2,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,18.9,10.1016/j.fluid.2016.05.030,Physicochemical properties of 2-alkyl-1-ethylpyridinium based ionic liquids,Fluid Phase Equilib.,2016,"InChI=1S/C17H30N.C2F6NO4S2/c1-3-5-6-7-8-9-10-11-14-17-15-12-13-16-18(17)4-2;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h12-13,15-16H,3-11,14H2,1-2H3;/q+1;-1",LOTGTXZQOXJNKS-UHFFFAOYSA-N,j.fluid.2016.05.030.json,9,1,False,inchi,inchikey::LOTGTXZQOXJNKS-UHFFFAOYSA-N,0.0,
1-propoxy-2-propanol,CCCOCC(C)O,Experimental,C6H14O2,118.17599999999999,4.0,1.0,2.0,29.46,0.7938000000000001,-,-,-,-,-,283.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,11.0,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C6H14O2/c1-3-4-8-5-6(2)7/h6-7H,3-5H2,1-2H3",FENFUOGYJVOCRY-UHFFFAOYSA-N,j.fluid.2016.09.002.json,1,1,False,inchi,inchikey::FENFUOGYJVOCRY-UHFFFAOYSA-N,0.0,
1-butoxy-2-propanol,CCCCOCC(C)O,Experimental,C7H16O2,132.203,5.0,1.0,2.0,29.46,1.1839,-,-,-,-,-,315.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,12.2,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3",RWNUSVWFHDHRCJ-UHFFFAOYSA-N,j.fluid.2016.09.002.json,2,1,False,inchi,inchikey::RWNUSVWFHDHRCJ-UHFFFAOYSA-N,0.0,
dipropylene glycol monomethyl ether,COC(C)COC(C)CO,Experimental,C7H16O3,148.20199999999997,5.0,1.0,3.0,38.69,0.4187000000000001,-,-,-,-,-,328.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,12.7,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C7H16O3/c1-6(4-8)10-5-7(2)9-3/h6-8H,4-5H2,1-3H3",CUDYYMUUJHLCGZ-UHFFFAOYSA-N,j.fluid.2016.09.002.json,3,1,False,inchi,inchikey::CUDYYMUUJHLCGZ-UHFFFAOYSA-N,0.0,
"2-propanol, 1-(2-butoxy-1-methylethoxy)-",CCCCOCC(C)OCC(C)O,Experimental,C10H22O3,190.28300000000002,8.0,1.0,3.0,38.69,1.589,-,-,-,-,-,418.6,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,16.2,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C10H22O3/c1-4-5-6-12-8-10(3)13-7-9(2)11/h9-11H,4-8H2,1-3H3",CUVLMZNMSPJDON-UHFFFAOYSA-N,j.fluid.2016.09.002.json,4,1,False,inchi,inchikey::CUVLMZNMSPJDON-UHFFFAOYSA-N,0.0,
1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-2-propanol,COCC(C)OCC(C)OCC(C)O,Experimental,C10H22O4,206.28199999999998,8.0,1.0,4.0,47.92,0.8237999999999996,-,-,-,-,-,434.8,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,16.8,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C10H22O4/c1-8(11)5-13-10(3)7-14-9(2)6-12-4/h8-11H,5-7H2,1-4H3",HPFDGTFXAVIVTH-UHFFFAOYSA-N,j.fluid.2016.09.002.json,5,1,False,inchi,inchikey::HPFDGTFXAVIVTH-UHFFFAOYSA-N,0.0,
"1,2-dimethoxypropane",COCC(C)OC,Experimental,C5H12O2,104.14899999999999,3.0,0.0,2.0,18.46,0.6677,-,-,-,-,-,216.5,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,8.4,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C5H12O2/c1-5(7-3)4-6-2/h5H,4H2,1-3H3",LEEANUDEDHYDTG-UHFFFAOYSA-N,j.fluid.2016.09.002.json,6,1,False,inchi,inchikey::LEEANUDEDHYDTG-UHFFFAOYSA-N,0.0,
2-methoxy-1-(2-methoxy-1-methylethoxy)propane,COCC(C)OCC(C)OC,Experimental,C8H18O3,162.22899999999998,6.0,0.0,3.0,27.69,1.0728,-,-,-,-,-,321.8,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,101.325,12.5,10.1016/j.fluid.2016.09.002,Heat capacity of dowanols within a temperature range of (275.15 to 339.15) K. Measurements and prediction.,Fluid Phase Equilib.,2016,"InChI=1S/C8H18O3/c1-7(10-4)6-11-8(2)5-9-3/h7-8H,5-6H2,1-4H3",OQUIHNRSFOIOFU-UHFFFAOYSA-N,j.fluid.2016.09.002.json,7,1,False,inchi,inchikey::OQUIHNRSFOIOFU-UHFFFAOYSA-N,0.0,
